张三 230101198009081234 1980-09-08 哈尔滨道里区十二道街 男 3125 23010119751201312X d1 
李四 230101198107023736 1981-07-02 哈尔滨道外区三道街 男 2980 23010119751201312X d1 
张红 23010119751201312X 1975-12-01 哈尔滨南岗区三十道街 男 4260 23010119751201312X d1 
王二 230101198204078121 1982-04-07 哈尔滨动力区六十道街 男 2890 23010119751201312X d1 
灰太狼 23010119950101XXXX 1995-01-01 青青草原狼堡 男 1200 23010119960101XXXX d2 
红太狼 23010119960101XXXX 1996-01-01 青青草原狼堡 女 3600 23010119960101XXXX d2 
喜羊羊 23010120050101XXXX 2005-01-01 青青草原大肥羊学校 男 1000 23010120050101XXXX d3 
超人 XXXXXXXXXXXXXXXXXX 3000-01-01 外星 男 1 23010120050101XXXX d4 
张三 230101198009081234 1980-09-08 哈尔滨道里区十二道街 男 3125 23010119751201312X d1 
李四 230101198107023736 1981-07-02 哈尔滨道外区三道街 男 2980 23010119751201312X d1 
